@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 numeric

@data
1,'2019/09/19 12:25:02:065',1,-16644862,-16447484,-16184312,-15723760,-15394538,-15394538,-15591661,-10854819,-7958640,-7563109,-16579070,-16250361,-15723761,-14670816,-14144729,-14473437,-14933732,-10724003,-6578272,-6379607,-16381948,-15921397,-14934502,-13421262,-12829126,-13552593,-14210267,-10856104,-5526867,-5064773,-16250105,-15526639,-13882072,-12434880,-12040380,-12895433,-13684180,-11316656,-4804170,-4013111,-15395310,-14934759,-12698309,-11054254,-10791598,-12237760,-13223884,-11776693,-4343618,-3157800,-9739165,-13422290,-12764360,-8818319,-8949907,-8555146,-8423041,-10723744,-3422256,-2105110,-7108727,-7242115,-6519938,-5600124,-5074808,-4415845,-3756369,-4411984,-5397077,-5066311,-8885146,-3949634,-593162,-329479,-1910313,-5269357,-6983065,-7969446,-14082534,-14080214,-9673892,-2370347,-724239,-65794,-66055,-199185,-10792884,-15264750,-11780548,-12306377,-8225410,-11383988,-12045008,-10399929,-6582910,-10197381,-11905154,-14474191,-9282476,-9872810,1
2,'2019/09/19 12:25:02:105',1,-16644862,-16447484,-16184312,-15723760,-15394538,-15394538,-15591661,-10854819,-7958640,-7563109,-16579070,-16250361,-15723761,-14670816,-14144729,-14473437,-14933732,-10724003,-6578272,-6379607,-16381948,-15921397,-14934502,-13421262,-12829126,-13552593,-14210267,-10856104,-5526867,-5064773,-16250105,-15526639,-13882072,-12434880,-12040380,-12895433,-13684180,-11316656,-4804170,-4013111,-15395310,-14934759,-12698309,-11054254,-10791598,-12237760,-13223884,-11776693,-4343618,-3157800,-9739165,-13422290,-12764360,-8818319,-8949907,-8555146,-8423041,-10723744,-3422256,-2105110,-7108727,-7242115,-6519938,-5600124,-5074808,-4415845,-3756369,-4411984,-5397077,-5066311,-8885146,-3949634,-593162,-329479,-1910313,-5269357,-6983065,-7969446,-14082534,-14080214,-9673892,-2370347,-724239,-65794,-66055,-199185,-10792884,-15264750,-11780548,-12306377,-8225410,-11383988,-12045008,-10399929,-6582910,-10197381,-11905154,-14474191,-9282476,-9872810,1
3,'2019/09/19 12:25:02:136',1,-16644862,-16447484,-16184312,-15723760,-15394538,-15394539,-15591661,-10854819,-7958640,-7563109,-16579070,-16250361,-15723761,-14670817,-14144729,-14473437,-14933732,-10723747,-6643808,-6314070,-16381948,-15921397,-14934502,-13421262,-12829125,-13552850,-14210267,-10856104,-5526867,-5064773,-16184569,-15526639,-13947608,-12434880,-12040636,-12895433,-13684436,-11316655,-4804169,-4012855,-15395310,-14869223,-12632517,-11120047,-10857134,-12237760,-13289420,-11776692,-4343617,-3092264,-9739421,-13422291,-12698568,-8818319,-8949908,-8555145,-8422785,-10723744,-3422256,-2105110,-7174008,-7241859,-6519938,-5600124,-5074808,-4415845,-3756369,-4412240,-5462358,-5066311,-8819610,-3884098,-593162,-329479,-1975849,-5269357,-6983066,-8035239,-14148327,-14080215,-9608355,-2370346,-724238,-65794,-66055,-199185,-10858677,-15264750,-11648962,-12306377,-8225666,-11384245,-11979216,-10334137,-6517374,-10131845,-11905154,-14473934,-9282476,-9872810,1
4,'2019/09/19 12:25:02:169',1,-16644862,-16447484,-16184568,-15723760,-15329002,-15394538,-15591661,-10854818,-7958639,-7563109,-16579070,-16250361,-15789297,-14670816,-14144729,-14407901,-14933732,-10658210,-6578272,-6314070,-16447484,-15921397,-15000038,-13355726,-12829382,-13552593,-14210267,-10856103,-5526866,-5064773,-16184569,-15526639,-13947864,-12434880,-12040380,-12895433,-13684436,-11251119,-4869450,-4012854,-15395310,-14869223,-12698053,-11054254,-10791598,-12172224,-13223884,-11776692,-4343361,-3157800,-9739165,-13422291,-12698824,-8818063,-9015443,-8489353,-8422785,-10723488,-3422000,-2170646,-7108471,-7241859,-6520195,-5534588,-5009015,-4415588,-3756368,-4412239,-5462613,-5066055,-8885145,-3884097,-593162,-329736,-2041898,-5269613,-6983065,-8035496,-14213863,-14080214,-9673892,-2370346,-724238,-65794,-66055,-199185,-10924469,-15264749,-11583170,-12306122,-8225665,-11318452,-11978959,-10268344,-6517117,-10131845,-11905154,-14473934,-9282476,-9872809,1
5,'2019/09/19 12:25:02:201',1,-16644862,-16447483,-16184312,-15723504,-15394538,-15394538,-15591661,-10854819,-7958639,-7628645,-16579070,-16250361,-15724017,-14670816,-14144729,-14473437,-14933732,-10723747,-6578272,-6314071,-16381948,-15921397,-14934502,-13355726,-12829125,-13552594,-14210266,-10856103,-5526611,-5064773,-16184569,-15461103,-13947608,-12434879,-12040380,-12895177,-13684180,-11316655,-4869706,-3947318,-15395310,-14868967,-12698053,-11054254,-10857134,-12172224,-13223884,-11776692,-4343361,-3092264,-9739420,-13422291,-12698568,-8818318,-8949907,-8554889,-8422784,-10723488,-3422256,-2170646,-7108727,-7241859,-6585731,-5534588,-4943222,-4349795,-3690576,-4411983,-5462613,-5066311,-8885146,-3883842,-593162,-395272,-2042155,-5269614,-6982809,-8035495,-14148071,-14080215,-9608356,-2304810,-724238,-65794,-66055,-199185,-10858933,-15264749,-11583426,-12371914,-8159873,-11252658,-11847630,-10202550,-6451324,-10131844,-11905410,-14408398,-9282475,-9873066,1
6,'2019/09/19 12:25:02:234',1,-16644862,-16447483,-16184312,-15723504,-15394538,-15394538,-15591661,-10854819,-7958639,-7628645,-16579070,-16250361,-15724017,-14670816,-14144729,-14473437,-14933732,-10723747,-6578272,-6314071,-16381948,-15921397,-14934502,-13355726,-12829125,-13552594,-14210266,-10856103,-5526611,-5064773,-16184569,-15461103,-13947608,-12434879,-12040380,-12895177,-13684180,-11316655,-4869706,-3947318,-15395310,-14868967,-12698053,-11054254,-10857134,-12172224,-13223884,-11776692,-4343361,-3092264,-9739420,-13422291,-12698568,-8818318,-8949907,-8554889,-8422784,-10723488,-3422256,-2170646,-7108727,-7241859,-6585731,-5534588,-4943222,-4349795,-3690576,-4411983,-5462613,-5066311,-8885146,-3883842,-593162,-395272,-2042155,-5269614,-6982809,-8035495,-14148071,-14080215,-9608356,-2304810,-724238,-65794,-66055,-199185,-10858933,-15264749,-11583426,-12371914,-8159873,-11252658,-11847630,-10202550,-6451324,-10131844,-11905410,-14408398,-9282475,-9873066,1
7,'2019/09/19 12:25:02:266',1,-16644862,-16447484,-16184311,-15723504,-15394538,-15394538,-15591917,-10854819,-7958896,-7563109,-16579070,-16250361,-15723761,-14670816,-14144729,-14473437,-14933732,-10723747,-6578272,-6379606,-16381948,-15921397,-15000038,-13355470,-12829125,-13552594,-14210267,-10856104,-5526867,-5064773,-16184569,-15461103,-13882071,-12434880,-12040637,-12829641,-13684436,-11316655,-4869706,-4012855,-15395310,-14869223,-12632773,-11054255,-10791598,-12237761,-13223884,-11711156,-4343618,-3092264,-9673884,-13422291,-12698567,-8818318,-8949907,-8554889,-8422785,-10723744,-3422256,-2170646,-7108472,-7176323,-6520194,-5534331,-4877429,-4284002,-3690318,-4411983,-5462614,-5066310,-8819610,-3949634,-593162,-395529,-2107948,-5269614,-6982809,-8035496,-14148070,-14080215,-9673892,-2304811,-724238,-65794,-66055,-199185,-10858934,-15264749,-11648962,-12437706,-8159617,-11186866,-11847373,-10136501,-6385531,-10131588,-11970947,-14408398,-9216683,-9873066,1
8,'2019/09/19 12:25:02:298',1,-16644863,-16447484,-16184312,-15723504,-15394538,-15394538,-15591661,-10854818,-7958640,-7563109,-16579070,-16250361,-15723761,-14670816,-14144729,-14407901,-14999268,-10658211,-6578272,-6314071,-16381948,-15921397,-14934502,-13355726,-12829125,-13487057,-14210267,-10856103,-5526611,-5064773,-16184569,-15461103,-13947607,-12434880,-12040637,-12895178,-13684180,-11316655,-4804170,-4012855,-15395310,-14869223,-12698053,-11054510,-10791598,-12237760,-13289420,-11711156,-4277825,-3157800,-9673885,-13422291,-12698824,-8818318,-8949907,-8554889,-8422784,-10657952,-3422000,-2170646,-7108472,-7241859,-6585731,-5468795,-4811635,-4218208,-3624525,-4346446,-5397078,-5066310,-8885146,-3883842,-593162,-461322,-2239535,-5269871,-6851737,-8035240,-14148070,-14080215,-9608355,-2370346,-724238,-65794,-66055,-199185,-10990263,-15330541,-11648963,-12503499,-8094080,-11121073,-11716043,-10004915,-6319738,-10131587,-12036740,-14342863,-9216683,-9938602,1
9,'2019/09/19 12:25:02:330',1,-16644862,-16447483,-16184312,-15657968,-15329002,-15394538,-15591661,-10854819,-7958895,-7563109,-16579070,-16250361,-15723761,-14605280,-14144728,-14473437,-14933732,-10658467,-6578272,-6314070,-16381948,-15921397,-14934502,-13355726,-12829125,-13552593,-14210267,-10856103,-5526866,-5064773,-16184569,-15526640,-13947607,-12369344,-12040636,-12895177,-13684180,-11316655,-4803914,-4012855,-15395310,-14868967,-12632517,-11054254,-10791598,-12172224,-13289420,-11776692,-4343618,-3092264,-9739421,-13356755,-12698823,-8818319,-8949908,-8489353,-8422785,-10723488,-3422256,-2170646,-7108727,-7176323,-6585731,-5534331,-4811378,-4217952,-3624525,-4346446,-5462614,-5066311,-8885145,-3884098,-592906,-461322,-2239536,-5335407,-6851480,-8101031,-14148326,-14146008,-9673892,-2370346,-724238,-65794,-66055,-199185,-11056312,-15265005,-11583427,-12503500,-8094080,-11055280,-11649737,-9873328,-6253945,-10131587,-12036741,-14342607,-9216682,-9873066,1
10,'2019/09/19 12:25:02:364',1,-16644862,-16447483,-16184312,-15657968,-15329002,-15394538,-15591661,-10854819,-7958895,-7563109,-16579070,-16250361,-15723761,-14605280,-14144728,-14473437,-14933732,-10658467,-6578272,-6314070,-16381948,-15921397,-14934502,-13355726,-12829125,-13552593,-14210267,-10856103,-5526866,-5064773,-16184569,-15526640,-13947607,-12369344,-12040636,-12895177,-13684180,-11316655,-4803914,-4012855,-15395310,-14868967,-12632517,-11054254,-10791598,-12172224,-13289420,-11776692,-4343618,-3092264,-9739421,-13356755,-12698823,-8818319,-8949908,-8489353,-8422785,-10723488,-3422256,-2170646,-7108727,-7176323,-6585731,-5534331,-4811378,-4217952,-3624525,-4346446,-5462614,-5066311,-8885145,-3884098,-592906,-461322,-2239536,-5335407,-6851480,-8101031,-14148326,-14146008,-9673892,-2370346,-724238,-65794,-66055,-199185,-11056312,-15265005,-11583427,-12503500,-8094080,-11055280,-11649737,-9873328,-6253945,-10131587,-12036741,-14342607,-9216682,-9873066,1
